title,type,release_year,genres,platform,content_rating,imdb_rating,imdb_votes,country,tconst
Lab Rats,TV Show,2011,Action-Adventure | Comedy | Coming of Age,Disney+,TV-Y7,6.7,8258.0,BR,tt1991564
Lady and the Tramp,Movie,2019,Action-Adventure | Comedy | Family,Disney+,PG,6.2,26101.0,US,tt8096832
Lava,Movie,2015,Animation | Family | Musical,Disney+,G,,,,
LEGO Disney Frozen: Northern Lights (Shorts),TV Show,2016,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,5.6,786.0,GB,tt6110430
LEGO Star Wars: All Stars,TV Show,2018,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,,,,
LEGO Star Wars: All Stars (Shorts),TV Show,2018,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,,,,
LEGO Star Wars: Droid Tales,TV Show,2014,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,7.3,1180.0,US,tt4855868
LEGO Star Wars: Resistance Rises (Shorts),TV Show,2015,Action-Adventure | Animation | Comedy,Disney+,TV-Y7-FV,,,,
LEGO Star Wars: The Freemaker Adventures,TV Show,2015,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,7.3,1605.0,CA,tt5459566
LEGO Star Wars: The Freemaker Adventures (Shorts),TV Show,2016,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,7.3,1605.0,CA,tt5459566
LEGO Star Wars: The New Yoda Chronicles - Clash of the Skywalkers,Movie,2014,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,,,,
LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant,Movie,2014,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,,,,
LEGO Star Wars: The New Yoda Chronicles – Duel of the Skywalkers,Movie,2014,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,,,,
LEGO Star Wars: The New Yoda Chronicles – Escape from the Jedi Temple,Movie,2014,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,,,,
LEGO Star Wars: The New Yoda Chronicles – Race for the Holocrons,Movie,2014,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,,,,
Lemonade Mouth,Movie,2011,Coming of Age | Drama | Music,Disney+,TV-G,,,,
Lend a Paw,Movie,1941,Animation | Family | Kids,Disney+,TV-Y7,,,,
Leroy & Stitch,Movie,2006,Action-Adventure | Animation | Comedy,Disney+,G,,,,
Let it Shine,Movie,2012,Coming of Age | Drama | Music,Disney+,TV-G,,,,
Life is Ruff,Movie,2005,Animals & Nature | Comedy | Coming of Age,Disney+,TV-G,,,,
Life With Mikey,Movie,1993,Buddy | Comedy | Coming of Age,Disney+,PG,5.7,6933.0,AU,tt0107413
Life-Size 2,Movie,2018,Comedy | Coming of Age | Fantasy,Disney+,TV-14,,,,
Lifted,Movie,2006,Animation | Comedy | Family,Disney+,G,,,,
Lilo & Stitch,Movie,2002,Action-Adventure | Animation | Family,Disney+,TV-PG,7.4,238767.0,EG,tt0275847
Lilo & Stitch 2: Stitch Has a Glitch,Movie,2005,Animation | Comedy | Dance,Disney+,PG,,,,
Lizzie McGuire,TV Show,2000,Comedy | Coming of Age | Kids,Disney+,TV-G,6.6,21312.0,ZA,tt0273366
Lonesome Ghosts,Movie,1937,Animation | Family | Kids,Disney+,TV-Y7,,,,
Lost Treasures of the Maya,TV Show,2018,Docuseries | Historical,Disney+,TV-PG,6.5,399.0,CA,tt10276578
Lou,Movie,2017,Action-Adventure | Animation | Comedy,Disney+,G,,,,
Luck of the Irish,Movie,2001,Comedy | Coming of Age | Fantasy,Disney+,TV-G,,,,
Luxo Jr.,Movie,1986,Animation | Comedy | Family,Disney+,G,,,,
Magician Mickey,Movie,1937,Animation | Comedy | Family,Disney+,TV-PG,,,,
Mail Dog,Movie,1947,Animation | Comedy | Family,Disney+,TV-G,,,,
Man Among Cheetahs,Movie,2017,Animals & Nature | Documentary | Family,Disney+,TV-PG,,,,
Mars: Inside SpaceX,Movie,2018,Documentary,Disney+,TV-PG,,,,
Marvel Comics X-Men,TV Show,1992,Action-Adventure | Animation | Fantasy,Disney+,TV-Y7,,,,
Marvel Rising: Initiation (Shorts),TV Show,2017,Action-Adventure | Animation | Kids,Disney+,TV-Y7,5.8,824.0,KR,tt9073722
Marvel Rising: Secret Warriors,Movie,2018,Action-Adventure | Animation | Coming of Age,Disney+,TV-Y7-FV,,,,
Marvel Studios: Assembling A Universe,Movie,2014,Action-Adventure | Documentary | Superhero,Disney+,TV-PG,,,,
Marvel Studios: Expanding the Universe,Movie,2019,Documentary | Family,Disney+,TV-PG,,,,
Marvel Studios' Ant-Man,Movie,2015,Action-Adventure | Comedy | Science Fiction,Disney+,PG-13,,,,
Marvel Studios' Avengers: Age of Ultron,Movie,2015,Action-Adventure | Science Fiction | Superhero,Disney+,PG-13,,,,
Marvel Studios' Avengers: Endgame,Movie,2019,Action-Adventure | Fantasy | Science Fiction,Disney+,PG-13,,,,
Marvel Studios' Captain America: Civil War,Movie,2016,Action-Adventure | Science Fiction | Superhero,Disney+,PG-13,,,,
Marvel Studios' Captain America: The First Avenger,Movie,2011,Action-Adventure | Science Fiction | Superhero,Disney+,PG-13,,,,
Marvel Studios' Captain America: The Winter Soldier,Movie,2014,Action-Adventure | Science Fiction | Superhero,Disney+,PG-13,,,,
Marvel Studios' Captain Marvel,Movie,2019,Action-Adventure | Science Fiction | Superhero,Disney+,PG-13,,,,
Marvel Studios' Doctor Strange,Movie,2016,Action-Adventure | Fantasy | Superhero,Disney+,PG-13,,,,
Marvel Studios' Guardians of the Galaxy,Movie,2014,Action-Adventure | Comedy | Science Fiction,Disney+,PG-13,,,,
Marvel Studios' Guardians of the Galaxy Vol. 2,Movie,2017,Action-Adventure | Comedy | Science Fiction,Disney+,PG-13,,,,
Marvel Studios' Iron Man,Movie,2008,Action-Adventure | Science Fiction | Superhero,Disney+,PG-13,,,,
Marvel Studios' Iron Man 2,Movie,2010,Action-Adventure | Science Fiction | Superhero,Disney+,PG-13,,,,
Marvel Studios' Iron Man 3,Movie,2013,Action-Adventure | Science Fiction | Superhero,Disney+,PG-13,,,,
Marvel Studios' The Avengers,Movie,2012,Action-Adventure | Fantasy | Science Fiction,Disney+,PG-13,,,,
Marvel Studios' Thor,Movie,2011,Action-Adventure | Fantasy | Superhero,Disney+,PG-13,,,,
Marvel Studios' Thor: The Dark World,Movie,2013,Action-Adventure | Fantasy | Science Fiction,Disney+,PG-13,,,,
Marvel Ultimate Spider-Man,TV Show,2011,Action-Adventure | Animation | Fantasy,Disney+,TV-Y7,,,,
Marvel's Agent Carter,TV Show,2014,Action-Adventure | Science Fiction | Spy/Espionage,Disney+,TV-14,,,,
Marvel's Ant-Man (Shorts),TV Show,2016,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,,,,
Marvel's Avengers Assemble,TV Show,2012,Action-Adventure | Animation | Kids,Disney+,TV-Y7,7.0,9093.0,AU,tt2455546
Marvel's Avengers: Secret Wars (Shorts),TV Show,2016,Action-Adventure | Animation | Kids,Disney+,TV-Y7,,,,
